epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,3266.16,0.66033,0.40988,1.03475,0.91422,0.90672,0.93287,0.67632,0.9638,0.5104,1.06466,0.000242087,0.000242087,0.000242087
81,3307.01,0.65934,0.41035,1.03412,0.91529,0.90617,0.93334,0.67772,0.95494,0.49619,1.0595,0.000231088,0.000231088,0.000231088
82,3347.84,0.65718,0.40762,1.03258,0.91689,0.90616,0.93345,0.67914,0.95486,0.50287,1.06014,0.000220089,0.000220089,0.000220089
83,3388.85,inf,0.40481,1.02872,0.92112,0.90046,0.93381,0.6787,0.95232,0.49833,1.0556,0.00020909,0.00020909,0.00020909
84,3429.77,0.65211,0.40019,1.03048,0.91513,0.90461,0.93276,0.67853,0.9516,0.51039,1.05427,0.000198091,0.000198091,0.000198091
85,3471.1,0.65293,0.40515,1.0295,0.92175,0.90622,0.93513,0.68115,0.95164,0.51822,1.05418,0.000187092,0.000187092,0.000187092
86,3511.9,inf,0.40165,1.02857,0.91964,0.90771,0.9352,0.68098,0.95102,0.52038,1.05365,0.000176094,0.000176094,0.000176094
87,3552.52,0.64708,0.39834,1.02764,0.92048,0.90678,0.93519,0.68162,0.94905,0.51904,1.05273,0.000165095,0.000165095,0.000165095
88,3593.59,0.64369,0.39792,1.02609,0.91824,0.90751,0.93545,0.68328,0.9442,0.51495,1.04905,0.000154096,0.000154096,0.000154096
89,3635.04,0.64518,0.39963,1.02577,0.91991,0.90699,0.93594,0.68304,0.9448,0.51497,1.04829,0.000143097,0.000143097,0.000143097
90,3675.92,0.64203,0.3949,1.02453,0.92118,0.90346,0.93529,0.68204,0.94854,0.51574,1.0516,0.000132098,0.000132098,0.000132098
91,3717.92,0.79597,0.4233,1.09285,0.91795,0.90655,0.93428,0.67847,0.95376,0.5186,1.05551,0.000121099,0.000121099,0.000121099
92,3756.79,0.78523,0.41205,1.08806,0.9196,0.9054,0.93481,0.6789,0.95472,0.51835,1.05699,0.0001101,0.0001101,0.0001101
93,3796.81,0.77834,0.40773,1.08195,0.92214,0.90363,0.93485,0.67662,0.96024,0.51745,1.06134,9.91012e-05,9.91012e-05,9.91012e-05
94,3838.04,0.77463,0.40312,1.08129,0.92092,0.90642,0.93485,0.67608,0.9636,0.51544,1.06362,8.81023e-05,8.81023e-05,8.81023e-05
95,3878.74,0.76784,0.39887,1.07908,0.92345,0.90528,0.93483,0.67505,0.96634,0.51556,1.06734,7.71034e-05,7.71034e-05,7.71034e-05
96,3919.45,0.76675,0.39793,1.075,0.92121,0.90793,0.93548,0.67525,0.96419,0.51229,1.06535,6.61045e-05,6.61045e-05,6.61045e-05
97,3959.83,0.7598,0.39427,1.06724,0.92097,0.90829,0.93617,0.67693,0.96074,0.50808,1.06216,5.51056e-05,5.51056e-05,5.51056e-05
98,4000.24,0.7571,0.39233,1.06795,0.92705,0.90453,0.93688,0.67865,0.95665,0.5059,1.06004,4.41067e-05,4.41067e-05,4.41067e-05
99,4039.95,0.75508,0.38974,1.06941,0.92624,0.9077,0.93702,0.67964,0.95362,0.50509,1.05829,3.31078e-05,3.31078e-05,3.31078e-05
100,4079.59,0.75205,0.39095,1.0711,0.92665,0.9074,0.93715,0.68016,0.95233,0.50339,1.05759,2.21089e-05,2.21089e-05,2.21089e-05
